,Title,Year,Rating,Runtime,Genre,Gross
0,Aquaman,2018,PG-13,143 min,"
Action, Adventure, Fantasy            ","335,061,807"
1,Alita: Battle Angel,2019,PG-13,122 min,"
Action, Adventure, Sci-Fi            ","85,710,210"
2,Ben 10: Alien Swarm,2009 TV Movie,TV-PG,69 min,"
Action, Adventure, Family            ",
3,Birdman or (The Unexpected Virtue of Ignorance),2014,R,119 min,"
Comedy, Drama            ","42,340,598"
4,Batman,1966,PG,105 min,"
Action, Adventure, Comedy            ",
5,Batman,1989,PG-13,126 min,"
Action, Adventure            ","251,188,924"
6,Batman Returns,1992,PG-13,126 min,"
Action, Crime, Fantasy            ","162,831,698"
7,Blankman,1994,PG-13,92 min,"
Action, Comedy, Crime            ","7,892,208"
8,Batman Forever,1995,PG-13,121 min,"
Action, Adventure            ","184,031,112"
9,Batman & Robin,1997,PG-13,125 min,"
Action, Sci-Fi            ","107,325,195"
10,Batman Begins,2005,PG-13,140 min,"
Action, Crime, Drama            ","206,852,432"
11,The Dark Knight,2008,PG-13,152 min,"
Action, Crime, Drama            ","534,858,444"
12,The Dark Knight Rises,2012,PG-13,164 min,"
Action, Drama, Thriller            ","448,139,099"
13,Batman v Superman: Dawn of Justice,2016,PG-13,151 min,"
Action, Adventure, Sci-Fi            ","330,360,194"
14,Batgirl,,,,"
Action, Adventure, Crime            ",
15,Bloodshot,2020,PG-13,109 min,"
Action, Adventure, Sci-Fi            ","12,561,824"
16,Blade,1998,R,120 min,"
Action, Horror, Sci-Fi            ","70,087,718"
17,Blade II,2002,R,117 min,"
Action, Horror, Sci-Fi            ","82,348,319"
18,Blade: Trinity,2004,R,113 min,"
Action, Horror, Sci-Fi            ","52,411,906"
19,Swamp Thing,1982,PG,91 min,"
Horror, Sci-Fi            ",
20,The Return of Swamp Thing,1989,PG-13,88 min,"
Action, Adventure, Comedy            ","192,816"
21,G.I. Joe: The Rise of Cobra,2009,PG-13,118 min,"
Action, Adventure, Sci-Fi            ","152,267,519"
22,G.I. Joe: Retaliation,2013,PG-13,110 min,"
Action, Adventure, Sci-Fi            ","122,523,060"
23,Venom,2018,PG-13,112 min,"
Action, Adventure, Sci-Fi            ","213,515,506"
24,Booster Gold,,,,"
Action, Adventure, Crime            ",
25,Dream Warrior,2003,R,95 min,"
Action, Sci-Fi            ",
26,The Crow,1994,R,102 min,"
Action, Crime, Drama            ","50,693,162"
27,The Crow: City of Angels,1996,R,84 min,"
Action, Crime, Fantasy            ","17,883,659"
28,The Crow: Salvation,2000,R,102 min,"
Action, Crime, Fantasy            ",
29,The Crow: Wicked Prayer,2005,R,99 min,"
Action, Adventure, Comedy            ",
30,All Superheroes Must Die,2011,Unrated,78 min,"
Action, Horror, Sci-Fi            ",
31,Sky High,2005,PG,100 min,"
Action, Comedy, Family            ","63,946,815"
32,The Guyver,1991,PG-13,88 min,"
Action, Comedy, Horror            ",
33,Guyver: Dark Hero,1994,R,127 min,"
Action, Horror, Sci-Fi            ",
34,Gotham City Sirens,,,,"
Action, Adventure, Comedy            ",
35,Jonah Hex,2010,PG-13,81 min,"
Action, Drama, Fantasy            ","10,539,414"
36,Joker,I) (2019,R,122 min,"
Crime, Drama, Thriller            ","335,451,311"
37,Dr. Strange,1978 TV Movie,TV-PG,93 min,"
Action, Fantasy            ",
38,Doctor Strange,2016,PG-13,115 min,"
Action, Adventure, Fantasy            ","232,641,920"
39,Danger: Diabolik,1968,Not Rated,105 min,"
Action, Comedy, Crime            ",
40,Deadpool,2016,R,108 min,"
Action, Comedy            ","363,070,709"
41,Deadpool 2,2018,R,119 min,"
Action, Adventure, Comedy            ","324,591,735"
42,Deadpool 3,2024,,,"
Action, Comedy, Sci-Fi            ",
43,Deathstroke,,,,"
Action, Adventure, Crime            ",
44,Deadshot,,,,"
Action, Adventure, Comedy            ",
45,Iron Man,2008,PG-13,126 min,"
Action, Adventure, Sci-Fi            ","318,412,101"
46,Iron Man 2,2010,PG-13,124 min,"
Action, Sci-Fi            ","312,433,331"
47,Iron Man Three,2013,PG-13,130 min,"
Action, Adventure, Sci-Fi            ","409,013,994"
48,Catwoman,2004,PG-13,104 min,"
Action, Crime, Fantasy            ","40,202,379"
49,Defendor,2009,R,101 min,"
Comedy, Crime, Drama            ","44,462"
